date,time,home,score,away
2022.07.02 (토),18:00,제주 유나이티드,2 : 2,FC서울
2022.07.02 (토),19:00,포항 스틸러스,2 : 0,울산 현대 축구단
2022.07.02 (토),19:00,김천 상무 프로축구단,1 : 2,전북 현대 모터스
2022.07.02 (토),20:00,성남FC,0 : 2,강원FC
2022.07.03 (일),19:00,대구FC,0 : 0,수원FC
2022.07.03 (일),19:30,수원 삼성 블루윙즈,0 : 0,인천 유나이티드
2022.07.05 (화),19:00,김천 상무 프로축구단,4 : 0,제주 유나이티드
2022.07.05 (화),19:00,성남FC,1 : 4,포항 스틸러스
2022.07.05 (화),19:30,울산 현대 축구단,2 : 1,강원FC
2022.07.06 (수),19:00,수원 삼성 블루윙즈,1 : 1,대구FC
2022.07.06 (수),19:00,인천 유나이티드,0 : 1,수원FC
2022.07.06 (수),19:30,FC서울,0 : 1,전북 현대 모터스
2022.07.08 (금),19:30,제주 유나이티드,3 : 2,성남FC
2022.07.08 (금),19:30,강원FC,3 : 2,김천 상무 프로축구단
2022.07.09 (토),19:00,전북 현대 모터스,2 : 2,인천 유나이티드
2022.07.09 (토),20:00,대구FC,1 : 1,울산 현대 축구단
2022.07.10 (일),19:00,수원FC	4 : 3,FC서울
2022.07.10 (일),19:00,포항 스틸러스,1 : 0,수원 삼성 블루윙즈
2022.07.16 (토),18:00,전북 현대 모터스,	성남FC
2022.07.16 (토),18:00,울산 현대 축구단,null,수원 삼성 블루윙즈
2022.07.16 (토),18:00,김천 상무 프로축구단,null,인천 유나이티드
2022.07.16 (토),19:00,수원FC,	null,강원FC
2022.07.16 (토),20:00,포항 스틸러스,null,제주 유나이티드
2022.07.16 (토),20:00,FC서울,null대구FC
2022.07.30 (토),19:00,전북 현대 모터스,null,제주 유나이티드
2022.07.30 (토),19:00,수원 삼성 블루윙즈,null,김천 상무 프로축구단
2022.07.30 (토),19:30,포항 스틸러스,null,FC서울
2022.07.30 (토),20:00,울산 현대 축구단,null,강원FC
2022.07.30 (토),20:00,성남FC,null,인천 유나이티드
2022.07.31 (일),19:30,수원FC,null,대구FC