based,hteam,url
서울,FC 서울,https://www.fcseoul.com/fcshop
수원삼성,수원 삼성 블루윙즈,http://www.bluewingsshop.com/
울산,울산 현대,https://www.uhshop.co.kr/
포항,포항 스틸러스,https://www.fcphshop.com/
제주,제주 유나이티드 FC,https://www.jeju-utd.com/shop/shop.asp
수원,수원 FC,https://www.suwonfcshop.com/
전북,전북 현대 모터스,http://www.jbfcmall.com/
인천,인천 유나이티드 FC,https://www.incheonutdmarket.com/
대구,대구 FC,https://daegufcmall.co.kr/
김천,김천 상무 FC,https://gimcheonfcshop.com/
성남,성남 FC,https://shopsfc.com/
강원,강원 FC,http://smartstore.naver.com/gangwonfc